Date;energie;Code;HR% LIVE;<HR%>;HR% min;HR% Max;C %;Inc;Time
03/07/2020;Humidite;CHPC1;0;0;0;0;93;0;11:21:29
03/07/2020;Humidite;CHPC2;0;0;0;0;81;0;11:21:29
03/07/2020;Humidite;CHPC3;0;0;0;0;53;0;11:21:29
03/07/2020;Humidite;CHPC5;0;0;0;0;100;0;11:21:29
03/07/2020;Humidite;CHPC6;0;0;0;0;100;0;11:21:29
03/07/2020;Humidite;CHPC7;0;0;0;0;100;0;11:21:29
03/07/2020;Humidite;CHPC8;0;0;0;0;100;0;11:21:29
03/07/2020;Humidite;CHPC9;0;0;0;0;100;0;11:21:30
03/07/2020;Humidite;CHPC10;0;0;0;0;100;0;11:21:30
03/07/2020;Humidite;CHPC11;0;0;0;0;100;0;11:21:30
03/07/2020;Humidite;CHPC12;0;0;0;0;100;0;11:21:30
03/07/2020;Humidite;CHPC13;0;0;0;0;100;0;11:21:30
03/07/2020;Humidite;CHPC14;0;0;0;0;100;0;11:21:30
03/07/2020;Humidite;CHPC16;0;0;0;0;100;0;11:21:30
03/07/2020;Humidite;CHPC17;0;0;0;0;100;0;11:21:30
03/07/2020;Humidite;CHPC18;0;0;0;0;100;0;11:21:31
03/07/2020;Humidite;CHPC19;0;0;0;0;53;0;11:21:31
03/07/2020;Humidite;CHPC20;0;0;0;0;100;0;11:21:31
03/07/2020;Humidite;CHPC21;0;0;0;0;100;0;11:21:31
03/07/2020;Humidite;CHPC22;0;0;0;0;100;0;11:21:31
03/07/2020;Humidite;CHPC23;0;0;0;0;100;0;11:21:31
03/07/2020;Humidite;CHPC24;0;0;0;0;100;0;11:21:31
03/07/2020;Humidite;CHPC25;0;0;0;0;100;0;11:21:31
03/07/2020;Humidite;CHPC26;0;0;0;0;100;0;11:21:31
03/07/2020;Humidite;CHPC27;0;0;0;0;100;0;11:21:32
03/07/2020;Humidite;CHPC28;0;0;0;0;100;0;11:21:32
03/07/2020;Humidite;CHPC29;0;0;0;0;100;0;11:21:32
03/07/2020;Humidite;CHPC30;0;0;0;0;100;0;11:21:32
03/07/2020;Humidite;CHPC31;0;0;0;0;53;0;11:21:32
03/07/2020;Humidite;CHPC32;0;0;0;0;100;0;11:21:32
03/07/2020;Humidite;CHPC33;0;0;0;0;100;0;11:21:32
03/07/2020;Humidite;CHPC34;0;0;0;0;100;0;11:21:32
03/07/2020;Humidite;CHPC35;0;0;0;0;100;0;11:21:33
03/07/2020;Humidite;CHPC36;0;0;0;0;100;0;11:21:33
03/07/2020;Humidite;CHPC37;0;0;0;0;100;0;11:21:33
03/07/2020;Humidite;CHPC38;0;0;0;0;100;0;11:21:33
03/07/2020;Humidite;CHPC39;0;0;0;0;100;0;11:21:33
03/07/2020;Humidite;CHPC40;0;0;0;0;100;0;11:21:33
03/07/2020;Humidite;CHPC41;0;0;0;0;66;0;11:21:33
03/07/2020;Humidite;CHPC42;0;0;0;0;53;0;11:21:33
03/07/2020;Humidite;CHPC43;0;0;0;0;100;0;11:21:34
03/07/2020;Humidite;CHPC44;0;0;0;0;100;0;11:21:34
03/07/2020;Humidite;CHPC45;0;0;0;0;53;0;11:21:34
03/07/2020;Humidite;CHPC46;0;0;0;0;100;0;11:21:34
03/07/2020;Humidite;CHPC47;0;0;0;0;100;0;11:21:34
03/07/2020;Humidite;CHPC48;0;0;0;0;100;0;11:21:34
03/07/2020;Humidite;CHPC49;0;0;0;0;100;0;11:21:34
03/07/2020;Humidite;CHPC50;0;0;0;0;100;0;11:21:35
03/07/2020;Humidite;CHPC51;0;0;0;0;100;0;11:21:35
03/07/2020;Humidite;CHPC52;0;0;0;0;100;0;11:21:35
03/07/2020;Humidite;CHPC53;0;0;0;0;53;0;11:21:35
03/07/2020;Humidite;CHPC54;0;0;0;0;100;0;11:21:35
03/07/2020;Humidite;CHPC55;0;0;0;0;100;0;11:21:35
03/07/2020;Humidite;CHPC56;0;0;0;0;100;0;11:21:35
03/07/2020;Humidite;CHPC57;0;0;0;0;100;0;11:21:35
03/07/2020;Humidite;CHPC58;0;0;0;0;100;0;11:21:36
03/07/2020;Humidite;CHPC1;0;0;0;0;-148;0;11:52:44
03/07/2020;Humidite;CHPC2;0;0;0;0;-149;0;11:52:44
03/07/2020;Humidite;CHPC3;0;0;0;0;-143;0;11:52:44
03/07/2020;Humidite;CHPC5;71;19.93;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC6;59;22.7;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC7;81;17.81;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC8;82;19.48;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC9;70;18.5;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC10;87;22.55;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC11;50;22.21;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC12;64;20.65;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC13;60;20.89;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC14;54;19.4;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC16;48;17.01;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC17;50;19.85;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC18;50;20.62;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC19;0;0;0;0;-143;0;11:52:44
03/07/2020;Humidite;CHPC20;45;19.02;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC21;63;19.36;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC22;48;19.43;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC23;76;19.95;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC24;64;20.42;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC25;54;18.98;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC26;73;20.97;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC27;54;18.22;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC28;76;20.46;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC29;53;21.72;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC30;82;20.49;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC31;0;0;0;0;-143;0;11:52:44
03/07/2020;Humidite;CHPC32;41;22.72;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC33;45;18.51;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC34;41;20.11;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC35;42;18.25;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC36;47;19.17;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC37;78;18.35;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC38;85;20.81;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC39;70;20.39;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC40;62;22.08;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC41;0;0;0;0;-145;0;11:52:44
03/07/2020;Humidite;CHPC42;0;0;0;0;-143;0;11:52:44
03/07/2020;Humidite;CHPC43;74;21.83;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC44;57;20.08;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC45;0;0;0;0;-143;0;11:52:44
03/07/2020;Humidite;CHPC46;75;18.3;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC47;79;19.26;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC48;69;19.38;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC49;83;18.82;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC50;70;18.38;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC51;62;20.74;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC52;63;18.32;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC53;0;0;0;0;-143;0;11:52:44
03/07/2020;Humidite;CHPC54;52;16.92;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC55;54;18.92;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC56;48;16.78;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC57;61;21.32;0;88;73.9;0;11:52:44
03/07/2020;Humidite;CHPC58;57;20.24;0;89;73.9;0;11:52:44
03/07/2020;Humidite;CHPC1;0;0;0;0;155;0;12:10:14
03/07/2020;Humidite;CHPC2;0;0;0;0;155;0;12:10:14
03/07/2020;Humidite;CHPC3;0;0;0;0;155;0;12:10:14
03/07/2020;Humidite;CHPC5;72;35.86;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC6;81;38.37;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC7;84;34.83;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC8;46;35.26;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC9;61;35.31;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC10;54;37.03;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC11;56;37.21;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC12;79;36.22;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC13;47;35.73;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC14;44;35.56;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC16;86;33.36;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC17;56;35.61;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC18;72;36.06;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC19;0;0;0;0;155;0;12:10:14
03/07/2020;Humidite;CHPC20;64;35.18;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC21;82;35.51;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC22;75;35.28;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC23;62;35.45;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC24;75;36.09;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC25;44;35.41;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC26;86;36.91;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC27;59;34.61;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC28;71;35.84;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC29;57;37.04;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC30;88;36.03;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC31;0;0;0;0;155;0;12:10:14
03/07/2020;Humidite;CHPC32;76;37.01;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC33;57;35.11;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC34;64;35.48;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC35;60;34.92;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC36;71;35.5;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC37;79;35.27;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC38;81;36.01;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC39;72;35.77;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC40;46;37.09;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC41;0;0;0;0;155;0;12:10:14
03/07/2020;Humidite;CHPC42;0;0;0;0;155;0;12:10:14
03/07/2020;Humidite;CHPC43;72;37.48;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC44;45;35.98;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC45;0;0;0;0;155;0;12:10:14
03/07/2020;Humidite;CHPC46;67;34.55;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC47;89;35.12;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC48;48;35.23;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC49;81;35.07;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC50;54;34.27;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC51;84;36.99;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC52;86;34.93;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC53;0;0;0;0;155;0;12:10:14
03/07/2020;Humidite;CHPC54;59;33.85;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC55;76;35.34;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC56;74;34.35;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC57;88;36.73;0;89;87.7;0;12:10:14
03/07/2020;Humidite;CHPC58;56;35.93;0;89;87.7;0;12:10:14
03/09/2020;Humidite;CHPC1;0;0;0;0;-868;0;08:43:42
03/09/2020;Humidite;CHPC2;0;0;0;0;-868;0;08:43:42
03/09/2020;Humidite;CHPC3;0;0;0;0;-868;0;08:43:42
03/09/2020;Humidite;CHPC5;79;48.45;0;88;90.6;0;08:43:42
03/09/2020;Humidite;CHPC6;89;47.58;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC7;60;47.23;0;88;90.6;0;08:43:42
03/09/2020;Humidite;CHPC8;45;46.52;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC9;66;46.38;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC10;83;46.13;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC11;68;48.46;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC12;57;48.14;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC13;41;48.05;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC14;79;46.06;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC16;63;44;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC17;44;44.9;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC18;72;47.42;0;86;90.6;0;08:43:42
03/09/2020;Humidite;CHPC19;0;0;0;0;-868;0;08:43:42
03/09/2020;Humidite;CHPC20;86;44.97;0;88;90.6;0;08:43:42
03/09/2020;Humidite;CHPC21;85;46.28;0;88;90.6;0;08:43:42
03/09/2020;Humidite;CHPC22;44;47.81;0;88;90.6;0;08:43:42
03/09/2020;Humidite;CHPC23;79;47.49;0;88;90.6;0;08:43:42
03/09/2020;Humidite;CHPC24;64;44.38;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC25;63;47.51;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC26;59;46.64;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC27;58;46.62;0;87;90.6;0;08:43:42
03/09/2020;Humidite;CHPC28;89;47.32;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC29;61;45.61;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC30;54;45;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC31;0;0;0;0;-868;0;08:43:42
03/09/2020;Humidite;CHPC32;57;46.37;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC33;56;46.92;0;89;90.6;0;08:43:42
03/09/2020;Humidite;CHPC34;81;45.08;0;88;90.6;0;08:43:43
03/09/2020;Humidite;CHPC35;87;44.83;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC36;71;46.78;0;88;90.6;0;08:43:43
03/09/2020;Humidite;CHPC37;52;45.82;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC38;60;46.2;0;88;90.6;0;08:43:43
03/09/2020;Humidite;CHPC39;83;46.45;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC40;54;47.2;0;88;90.6;0;08:43:43
03/09/2020;Humidite;CHPC41;0;0;0;0;-868;0;08:43:43
03/09/2020;Humidite;CHPC42;0;0;0;0;-868;0;08:43:43
03/09/2020;Humidite;CHPC43;79;46.75;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC44;55;47.36;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC45;0;0;0;0;-868;0;08:43:43
03/09/2020;Humidite;CHPC46;84;46.57;0;88;90.6;0;08:43:43
03/09/2020;Humidite;CHPC47;82;44.54;0;88;90.6;0;08:43:43
03/09/2020;Humidite;CHPC48;59;47.85;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC49;59;45.68;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC50;57;44;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC51;69;49.31;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC52;85;45;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC53;0;0;0;0;-868;0;08:43:43
03/09/2020;Humidite;CHPC54;62;46.94;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC55;89;45.95;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC56;89;44.18;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC57;63;46.01;0;88;90.6;0;08:43:43
03/09/2020;Humidite;CHPC58;54;48.25;0;89;90.6;0;08:43:43
03/09/2020;Humidite;CHPC1;0;0;0;0;-868;0;09:43:50
03/09/2020;Humidite;CHPC2;0;0;0;0;-868;0;09:43:50
03/09/2020;Humidite;CHPC3;0;0;0;0;-868;0;09:43:50
03/09/2020;Humidite;CHPC5;88;48.45;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC6;85;47.58;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC7;77;47.23;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC8;59;46.52;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC9;66;46.38;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC10;71;46.13;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC11;73;48.46;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC12;68;48.14;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC13;52;48.05;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC14;50;46.06;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC16;81;44;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC17;51;44.9;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC18;43;47.42;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC19;0;0;0;0;-868;0;09:43:50
03/09/2020;Humidite;CHPC20;46;44.97;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC21;62;46.28;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC22;57;47.81;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC23;48;47.49;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC24;85;44.38;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC25;57;47.51;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC26;85;46.64;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC27;52;46.62;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC28;69;47.32;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC29;88;45.61;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC30;78;45;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC31;0;0;0;0;-868;0;09:43:50
03/09/2020;Humidite;CHPC32;49;46.37;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC33;81;46.92;0;89;90.6;0;09:43:50
03/09/2020;Humidite;CHPC34;78;45.08;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC35;65;44.83;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC36;65;46.78;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC37;46;45.82;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC38;65;46.2;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC39;80;46.45;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC40;87;47.2;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC41;0;0;0;0;-868;0;09:43:51
03/09/2020;Humidite;CHPC42;0;0;0;0;-868;0;09:43:51
03/09/2020;Humidite;CHPC43;65;46.75;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC44;55;47.36;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC45;0;0;0;0;-868;0;09:43:51
03/09/2020;Humidite;CHPC46;69;46.57;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC47;55;44.54;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC48;56;47.85;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC49;82;45.68;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC50;58;44;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC51;46;49.31;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC52;76;45;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC53;0;0;0;0;-868;0;09:43:51
03/09/2020;Humidite;CHPC54;84;46.94;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC55;42;45.95;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC56;68;44.18;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC57;53;46.01;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC58;41;48.25;0;89;90.6;0;09:43:51
03/09/2020;Humidite;CHPC1;0;0;0;0;0;0;11:22:01
03/09/2020;Humidite;CHPC2;0;0;0;0;0;0;11:22:01
03/09/2020;Humidite;CHPC3;0;0;0;0;0;0;11:22:01
03/09/2020;Humidite;CHPC5;54;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC6;46;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC7;46;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC8;57;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC9;56;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC10;76;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC11;61;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC12;64;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC13;63;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC14;62;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC16;59;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC17;44;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC18;58;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC19;0;0;0;0;0;0;11:22:01
03/09/2020;Humidite;CHPC20;76;0;0;89;0;1;11:22:01
03/09/2020;Humidite;CHPC21;74;0;0;89;0;1;11:22:01
03/09/2020;Humidite;CHPC22;48;0;0;89;0;1;11:22:01
03/09/2020;Humidite;CHPC23;57;0;0;89;0;1;11:22:01
03/09/2020;Humidite;CHPC24;50;0;0;89;0;1;11:22:01
03/09/2020;Humidite;CHPC25;55;0;0;89;0;1;11:22:01
03/09/2020;Humidite;CHPC26;64;0;0;89;0;1;11:22:01
03/09/2020;Humidite;CHPC27;78;0;0;89;0;1;11:22:01
03/09/2020;Humidite;CHPC28;42;0;0;89;0;1;11:22:01
03/09/2020;Humidite;CHPC29;57;0;0;89;0;1;11:22:01
03/09/2020;Humidite;CHPC30;73;0;0;89;0;1;11:22:01
03/09/2020;Humidite;CHPC31;0;0;0;0;0;0;11:22:01
03/09/2020;Humidite;CHPC32;51;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC33;68;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC34;58;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC35;58;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC36;81;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC37;45;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC38;45;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC39;87;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC40;63;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC41;0;0;0;0;0;0;11:22:01
03/09/2020;Humidite;CHPC42;0;0;0;0;0;0;11:22:01
03/09/2020;Humidite;CHPC43;46;0;0;89;0;0;11:22:01
03/09/2020;Humidite;CHPC44;70;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC45;0;0;0;0;0;0;11:22:02
03/09/2020;Humidite;CHPC46;45;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC47;57;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC48;79;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC49;47;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC50;80;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC51;65;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC52;42;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC53;0;0;0;0;0;0;11:22:02
03/09/2020;Humidite;CHPC54;62;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC55;89;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC56;76;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC57;82;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC58;74;0;0;89;0;0;11:22:02
03/09/2020;Humidite;CHPC1;0;0;0;0;0;0;11:41:09
03/09/2020;Humidite;CHPC2;0;0;0;0;0;0;11:41:09
03/09/2020;Humidite;CHPC3;0;0;0;0;0;0;11:41:09
03/09/2020;Humidite;CHPC5;69;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC6;68;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC7;52;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC8;43;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC9;45;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC10;66;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC11;69;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC12;58;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC13;71;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC14;55;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC16;58;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC17;47;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC18;73;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC19;0;0;0;0;0;0;11:41:09
03/09/2020;Humidite;CHPC20;65;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC21;73;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC22;81;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC23;76;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC24;54;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC25;76;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC26;58;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC27;85;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC28;44;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC29;81;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC30;80;0;0;89;0;0;11:41:09
03/09/2020;Humidite;CHPC31;0;0;0;0;0;0;11:41:09
03/09/2020;Humidite;CHPC32;65;0;0;89;0;0;11:41:09
